Country,Capital
Norway,Oslo
There is no such country,
Guatemala,None of these
Saudi Arabia,Riyad
Morocco,Rabat
Mexico,None of these
the Netherlands,Amsterdam
Poland,Warsaw
There is no such country,
Switzerland,Bern
No distortion,
Venezuela,Caracas
New Zealand,Wellington
Nicaragua,Managua
Bulgaria,Sofia
the Dominican Republic,Santo Domingo
Costa Rica,San José
There is no such country,
Cambodia,Phnom Penh
Australia,Canberra
Mozambique,None of these
South Africa,Cape Town
There is no such country,
Afghanistan,Kabul
the United Kingdom,London
Hungary,None of these
